CITY,SCELL,NCELL,PrC2I9,C2I_Mean,std,SampleCount,WeightedC2I
sanxia,124673-0,259772-0,99,2.19,2.71,62,6138
sanxia,124673-0,259595-1,94,3.72,3.36,72,6768
sanxia,124673-0,274161-129,93,4.44,3.12,54,5022
sanxia,124673-0,259778-0,92,2.92,4.37,1806,166152
sanxia,124673-0,253771-0,91,4.06,3.67,70,6370
sanxia,124673-0,124813-0,88,3.36,4.73,100,8800
sanxia,124673-0,47444-0,88,4.38,3.94,656,57728
sanxia,124673-0,15472-129,88,1.86,6.01,86,7568
sanxia,124673-0,124711-2,87,4.08,4.33,18626,1620462
sanxia,124673-0,253917-2,87,3.77,4.69,5156,448572
sanxia,124673-0,253901-0,85,5.2,3.6,530,45050
sanxia,124673-0,15513-128,85,3.6,5.2,10042,853570
sanxia,124673-0,253819-1,81,4.9,4.73,4536,367416
sanxia,124673-0,124673-1,79,4.47,5.73,48231,3810249
sanxia,124673-0,253929-1,79,4.86,5.2,56,4424
sanxia,124673-0,15476-128,78,4.74,5.48,2116,165048
sanxia,124673-0,7202-128,77,5.12,5.17,1602,123354
sanxia,124673-0,253934-2,77,5.34,4.9,2532,194964
sanxia,124673-0,15290-129,76,5.21,5.34,144,10944
sanxia,124673-0,253929-0,76,5.43,5.01,122,9272
sanxia,124673-0,5691-128,75,5.66,5.01,4850,363750
sanxia,124673-0,47443-0,74,6.04,4.53,220,16280
sanxia,124673-0,259598-2,72,6.02,5.05,3090,222480
sanxia,124673-0,7201-128,70,6.79,4.33,790,55300
sanxia,124673-0,124683-2,65,7.24,4.73,1002,65130
sanxia,124673-0,47444-1,62,7.23,5.94,1306,80972
sanxia,124673-0,253787-1,61,8.38,2.23,106,6466
sanxia,124673-0,7202-129,60,6.78,8.63,5594,335640
sanxia,124673-0,253785-2,53,8.79,2.9,66,3498
sanxia,124673-0,124673-2,53,8.49,7.77,136,7208
sanxia,124673-0,253821-1,49,9.08,2.59,72,3528
sanxia,124673-0,259682-2,46,9.26,2.41,198,9108
sanxia,124673-0,253823-1,42,9.49,2.47,78,3276
sanxia,124673-0,253787-2,38,9.67,2.29,86,3268
sanxia,124673-0,253821-2,30,10.45,2.79,58,1740
sanxia,124673-0,259682-1,17,12,3.18,634,10778
sanxia,124673-0,253930-128,10,12.42,2.7,104,1040
sanxia,124673-1,259595-1,88,5.1,3.34,78,6864
sanxia,124673-1,253901-0,81,4.77,4.79,7214,584334
sanxia,124673-1,124673-0,72,6.1,4.9,84009,6048648
sanxia,124673-1,15290-128,72,5.99,5.07,358,25776
sanxia,124673-1,253905-2,71,4.75,7.49,56,3976
sanxia,124673-1,124673-2,67,5.9,7.16,9260,620420
sanxia,124673-1,5691-128,64,6.97,5.64,143955,9213120
sanxia,124673-1,253932-2,59,8.06,4.32,62,3658
sanxia,124673-1,124711-2,58,7.9,5.41,76391,4430678
sanxia,124673-1,253917-2,55,8.15,6.62,2234,122870
sanxia,124673-1,253934-2,54,8.34,6.1,4046,218484
sanxia,124673-1,15513-128,52,8.66,5.84,47296,2459392
sanxia,124673-1,253785-0,50,8.98,2.68,102,5100
sanxia,124673-1,7201-128,50,9.06,5.68,18883,944150
sanxia,124673-1,259598-2,50,9.07,6.49,3990,199500
sanxia,124673-1,253901-2,46,9.59,6.05,384,17664
sanxia,124673-1,7202-129,45,9.82,6.24,47469,2136105
sanxia,124673-1,15476-128,41,10.45,6.32,3054,125214
sanxia,124673-1,259778-0,41,10.43,6.51,7508,307828
sanxia,124673-1,124711-1,41,10.34,5.86,82,3362
sanxia,124673-1,124812-1,39,10.22,4.57,54,2106
sanxia,124673-1,47443-0,39,10.79,6.36,4138,161382
sanxia,124673-1,253789-2,38,10.57,5.16,260,9880
sanxia,124673-1,253819-1,37,11.05,5.95,1316,48692
sanxia,124673-1,253806-2,35,10.81,4.85,52,1820
sanxia,124673-1,259682-1,33,10.24,2.74,238,7854
sanxia,124673-1,7202-130,26,12.4,5.36,60,1560
sanxia,124673-1,47444-1,25,13.5,6.52,5026,125650
sanxia,124673-1,253821-2,24,10.62,2.32,52,1248
sanxia,124673-1,259682-2,22,13.51,5.73,914,20108
sanxia,124673-1,253778-1,7,15.42,4.43,52,364
sanxia,124673-1,47444-2,6,17.59,5.45,92,552
sanxia,124673-1,253771-2,3,21.65,6.82,98,294
sanxia,124673-2,15474-130,100,-1.54,1.35,246,24600
sanxia,124673-2,253797-0,100,-0.22,1.57,242,24200
sanxia,124673-2,253820-1,100,3.31,1.94,236,23600
sanxia,124673-2,124694-2,100,0.72,2.98,106,10600
sanxia,124673-2,253797-2,100,2.53,1.65,236,23600
sanxia,124673-2,47443-2,96,2.93,3.45,178,17088
sanxia,124673-2,253786-0,94,3.19,3.66,186,17484
sanxia,124673-2,124812-1,92,3.94,3.66,15785,1452220
sanxia,124673-2,7202-128,91,4.38,3.4,21389,1946399
sanxia,124673-2,124694-1,87,4.77,3.83,88,7656
sanxia,124673-2,124812-0,87,4.92,3.64,12486,1086282
sanxia,124673-2,47459-1,86,4.2,4.5,98,8428
sanxia,124673-2,15310-128,83,4.46,4.74,302,25066
sanxia,124673-2,47444-2,82,4.87,4.43,334,27388
sanxia,124673-2,47459-0,80,5.15,4.61,2204,176320
sanxia,124673-2,124812-2,78,4.74,5.51,370,28860
sanxia,124673-2,15476-128,77,5.37,4.94,35880,2762760
sanxia,124673-2,15583-129,77,3.56,7.42,86,6622
sanxia,124673-2,253901-2,77,5.18,5.12,33844,2605988
sanxia,124673-2,253905-2,76,5.31,5.13,3122,237272
sanxia,124673-2,124673-1,75,4.6,6.41,9898,742350
sanxia,124673-2,253771-0,74,5.26,5.84,2534,187516
sanxia,124673-2,7202-130,70,6.28,5.07,8958,627060
sanxia,124673-2,253819-1,69,6.56,5,6634,457746
sanxia,124673-2,253917-2,68,6.73,4.97,2272,154496
sanxia,124673-2,253934-2,67,7.08,4.39,4180,280060
sanxia,124673-2,124911-0,65,7.03,5.29,590,38350
sanxia,124673-2,47444-1,64,6.86,6.14,68407,4378048
sanxia,124673-2,15513-128,63,7,5.98,50802,3200526
sanxia,124673-2,47443-0,62,7.28,5.65,7892,489304
sanxia,124673-2,15121-128,61,7.31,6.03,7514,458354
sanxia,124673-2,124711-2,61,7.15,6.45,16994,1036634
sanxia,124673-2,124683-2,55,8.23,5.8,1952,107360
sanxia,124673-2,124673-0,55,8.17,6.53,214,11770
sanxia,124673-2,259598-2,55,8.37,5.35,11783,648065
sanxia,124673-2,5691-128,52,8.69,7.31,36016,1872832
sanxia,124673-2,15472-129,51,8.88,5.42,200,10200
sanxia,124673-2,7202-129,51,8.83,6.08,78684,4012884
sanxia,124673-2,253785-1,47,9.22,3.35,64,3008
